pair_id,group,selection_rank,condition,overlap_percent,synset,lemma,cjk_token,hiragana_token,cosine_distance
20,close_at_100,20,overlap_000,0,conceptnet:fly:1244,fly,凄窰墬,ぶもゐぎ,0.6833629608154297
20,close_at_100,20,overlap_025,25,conceptnet:fly:1244,fly,凄窰墬,ぶもゐぎ,0.6250347197055817
20,close_at_100,20,overlap_050,50,conceptnet:fly:1244,fly,凄窰墬,ぶもゐぎ,0.6341543793678284
20,close_at_100,20,overlap_075,75,conceptnet:fly:1244,fly,凄窰墬,ぶもゐぎ,0.6237377822399139
20,close_at_100,20,overlap_100,100,conceptnet:fly:1244,fly,凄窰墬,ぶもゐぎ,0.3246060609817505
21,close_at_100,21,overlap_000,0,aconite.n.01,aconite,陝氪,みょた,0.6257789731025696
21,close_at_100,21,overlap_025,25,aconite.n.01,aconite,陝氪,みょた,0.5622552037239075
21,close_at_100,21,overlap_050,50,aconite.n.01,aconite,陝氪,みょた,0.6402217149734497
21,close_at_100,21,overlap_075,75,aconite.n.01,aconite,陝氪,みょた,0.5021181106567383
21,close_at_100,21,overlap_100,100,aconite.n.01,aconite,陝氪,みょた,0.3248865604400635
22,close_at_100,22,overlap_000,0,alga.n.01,alga,裷多,ぉうろ,0.7014152109622955
22,close_at_100,22,overlap_025,25,alga.n.01,alga,裷多,ぉうろ,0.9398381672799587
22,close_at_100,22,overlap_050,50,alga.n.01,alga,裷多,ぉうろ,0.7125415205955505
22,close_at_100,22,overlap_075,75,alga.n.01,alga,裷多,ぉうろ,0.7063977718353271
22,close_at_100,22,overlap_100,100,alga.n.01,alga,裷多,ぉうろ,0.32496732473373413
23,close_at_100,23,overlap_000,0,tapeworm.n.01,tapeworm,緂嘂微,べぜ,0.4927023649215698
23,close_at_100,23,overlap_025,25,tapeworm.n.01,tapeworm,緂嘂微,べぜ,0.7342906594276428
23,close_at_100,23,overlap_050,50,tapeworm.n.01,tapeworm,緂嘂微,べぜ,0.6452620029449463
23,close_at_100,23,overlap_075,75,tapeworm.n.01,tapeworm,緂嘂微,べぜ,0.4021562337875366
23,close_at_100,23,overlap_100,100,tapeworm.n.01,tapeworm,緂嘂微,べぜ,0.32851290702819824
24,close_at_100,24,overlap_000,0,conceptnet:astrology:1434,astrology,嗂翂徸,たば,0.6432281732559204
24,close_at_100,24,overlap_025,25,conceptnet:astrology:1434,astrology,嗂翂徸,たば,0.8479860126972198
24,close_at_100,24,overlap_050,50,conceptnet:astrology:1434,astrology,嗂翂徸,たば,0.5517452955245972
24,close_at_100,24,overlap_075,75,conceptnet:astrology:1434,astrology,嗂翂徸,たば,0.6617823839187622
24,close_at_100,24,overlap_100,100,conceptnet:astrology:1434,astrology,嗂翂徸,たば,0.33408212661743164
25,close_at_100,25,overlap_000,0,antacid.n.01,antacid,封,くきとぴ,0.711638867855072
25,close_at_100,25,overlap_025,25,antacid.n.01,antacid,封,くきとぴ,0.7371145486831665
25,close_at_100,25,overlap_050,50,antacid.n.01,antacid,封,くきとぴ,0.545809805393219
25,close_at_100,25,overlap_075,75,antacid.n.01,antacid,封,くきとぴ,0.7453551292419434
25,close_at_100,25,overlap_100,100,antacid.n.01,antacid,封,くきとぴ,0.3340963125228882
26,close_at_100,26,overlap_000,0,critic.n.02,critic,矌稹,しぼお,0.8818733394145966
26,close_at_100,26,overlap_025,25,critic.n.02,critic,矌稹,しぼお,0.6305925846099854
26,close_at_100,26,overlap_050,50,critic.n.02,critic,矌稹,しぼお,0.6753219962120056
26,close_at_100,26,overlap_075,75,critic.n.02,critic,矌稹,しぼお,0.755918487906456
26,close_at_100,26,overlap_100,100,critic.n.02,critic,矌稹,しぼお,0.33763355016708374
27,close_at_100,27,overlap_000,0,jellyfish.n.02,jellyfish,緘脪卷,おな,0.6486624479293823
27,close_at_100,27,overlap_025,25,jellyfish.n.02,jellyfish,緘脪卷,おな,0.6192313134670258
27,close_at_100,27,overlap_050,50,jellyfish.n.02,jellyfish,緘脪卷,おな,0.8609910011291504
27,close_at_100,27,overlap_075,75,jellyfish.n.02,jellyfish,緘脪卷,おな,0.8730985075235367
27,close_at_100,27,overlap_100,100,jellyfish.n.02,jellyfish,緘脪卷,おな,0.33781105279922485
28,close_at_100,28,overlap_000,0,conceptnet:sky:1400,sky,凨拜,じぺて,0.7066740691661835
