id,concept,hit
209,prince.n.01,1
210,conceptnet:cytology:1318,0
211,conceptnet:engineering:1278,0
212,decoration.n.01,0
213,conceptnet:answer_telephone:1761,0
214,conceptnet:offer_solace:1901,0
215,conceptnet:drive_train:1891,0
216,conceptnet:draw_attention:1896,0
217,conceptnet:bridge_river:1757,0
218,conceptnet:effect:1429,0
219,conceptnet:coat_walls:1889,0
220,conceptnet:footwear:1861,0
221,conceptnet:cloud_judgement:1893,0
222,conceptnet:chair_committee:1758,0
223,decoration.n.01,0
224,conceptnet:politics:1333,1
225,conceptnet:cloud_judgement:1893,0
226,conceptnet:bottom_of_sea:1537,0
227,whole.n.02,0
228,conceptnet:community:1566,0
229,conceptnet:generalist:1799,0
230,conceptnet:conference:1588,0
231,expert.n.01,0
232,organ.n.01,0
233,conceptnet:twine:1593,0
234,conceptnet:offer_solace:1901,0
235,conceptnet:fall_down:1621,0
236,conceptnet:historical:1207,0
237,conceptnet:heraldiccharge:1599,0
238,conceptnet:play:1236,0
239,conceptnet:mouth:1230,0
240,conceptnet:eating:1257,0
241,foot.n.01,0
242,conceptnet:constant:1546,0
243,conceptnet:coat_walls:1889,0
244,conceptnet:rail:1554,0
245,conceptnet:reproduce:1565,0
246,conceptnet:empire_waist:1822,0
247,ice.n.02,0
248,beverage.n.01,0
249,conceptnet:go_home:1684,0
250,conceptnet:complete_job:1902,0
251,conceptnet:north_america:1558,0
252,a_quick,0
253,a_slow,0
254,a_hot,0
255,small.n.01,0
